NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,3,27,27,27,1,2,21,13,7,23,0.1070894,1
0,1,2,2,0,0.7075546,0.3085001,0.3085001,15,3,3,27,27,27,1,2,21,13,7,23,0.2007678,1
0,1,2,2,0,1.207554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,21,13,7,23,0.3012265,1
0,1,2,2,0,1.707554,0.3085001,0.3085001,15,3,3,27,27,27,1,2,21,13,7,23,0.402679,1
0,1,2,2,0,2.207553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,21,13,7,23,0.5011306,1
0,1,2,2,0,2.707553,0.3085001,0.3085001,15,3,3,27,27,27,1,2,21,13,7,23,0.6032292,1
0,1,2,2,0,3.207552,0.3085001,0.3085001,15,3,3,27,27,27,1,2,21,13,7,23,0.7010835,1
0,1,2,2,0,3.707552,0.3085001,0.3085,15,3,3,27,27,27,1,2,21,13,7,23,0.8001473,1
0,1,2,2,0,4.207551,8.3085,0.3085001,15,3,3,27,27,27,1,2,21,13,7,23,0.9033484,1
1,1,2,1,19.90756,4.707551,0.3085001,0.3075551,15,3,3,27,27,27,1,2,21,13,7,23,1.003351,1
1,1,2,1,19.40756,5.207551,0.3085001,0.3075551,15,3,3,27,27,27,1,2,21,13,7,23,1.100242,1
1,1,2,1,18.90756,5.707551,0.3085,0.3075551,15,3,3,27,27,27,1,2,21,13,7,23,1.20078,1
1,1,2,1,18.40756,6.207554,0.3085001,0.3075551,15,3,3,27,27,27,1,2,21,13,7,23,1.300634,1
1,1,2,1,17.90755,6.707556,0.3085001,0.3075551,15,3,3,27,27,27,1,2,21,13,7,23,1.401694,1
1,1,2,1,17.40755,7.207557,0.3085001,0.3075551,15,3,3,27,27,27,1,2,21,13,7,23,1.500157,1
1,1,2,1,16.90755,7.70756,0.3085001,0.3075551,15,3,3,27,27,27,1,2,21,13,7,23,1.600032,1
1,1,2,2,16.40755,8.207561,0.3085001,0.3085001,15,3,3,27,27,27,1,2,21,13,7,23,1.700665,1
1,1,2,2,15.80755,8.807564,0.3085001,0.3085001,15,3,3,27,27,27,1,2,21,13,7,23,1.804571,1
1,1,2,2,15.40755,9.207565,0.3085001,0.3085001,15,3,3,27,27,27,1,2,21,13,7,23,1.900306,1
1,1,2,2,14.90754,9.707567,0.3085001,0.3085001,15,3,3,27,27,27,1,2,21,13,7,23,2.000114,1
1,1,2,1,14.40754,10.20757,0.3085001,8.307555,15,3,3,27,27,27.3,1,2,21,13,7,23,2.100467,1
1,1,2,2,13.90754,10.70757,0.3085001,0.3085001,15,3,3,27,27,27.3,1,2,21,13,7,23,2.201461,1
1,1,2,2,13.40754,11.20757,0.3085001,0.3085001,15,3,3,27,27,27.3,1,2,21,13,7,23,2.30094,1
1,1,2,2,12.90753,11.70757,0.3085001,0.3085,15,3,3,27,27,27.3,1,2,21,13,7,23,2.402635,1
1,1,2,2,12.40753,12.20758,0.3085001,0.3085001,15,3,3,27,27,27.3,1,2,21,13,7,23,2.503139,1
1,1,2,2,11.90753,12.70758,0.3085001,0.3085001,15,3,3,27,27,27.3,1,2,21,13,7,23,2.601732,1
1,1,2,2,11.40753,13.20758,0.3085001,0.3085001,15,3,3,27,27,27.3,1,2,21,13,7,23,2.703396,1
1,1,2,2,10.90753,13.70758,0.3085001,0.3085001,15,3,3,27,27,27.3,1,2,21,13,7,23,2.803451,1
1,1,1,1,10.50753,14.10758,2.307555,8.307555,15,3,3,27,27,27.3,1,2,21,13,7,23,2.902767,4
1,1,1,1,10.50753,14.10758,2.407556,8.207555,15,3,3,27,27,27.3,1,2,21,13,7,23,3.001401,4
2,2,1,1,0.5084723,0.1085279,2.907557,7.707553,15,3,3,27,27,27.3,1,2,21,13,7,23,3.103022,4
2,2,1,1,0.5084723,0.1085279,3.407559,7.207551,15,3,3,27,27,27.3,1,2,21,13,7,23,3.202003,4
2,2,1,1,0.5084723,0.1085279,3.907561,6.707549,15,3,3,27,27,27.3,1,2,21,13,7,23,3.30203,4
2,2,1,1,0.5084723,0.1085279,4.407563,6.207547,15,3,3,27,27,27.3,1,2,21,13,7,23,3.402633,4
2,2,1,1,0.5084723,0.1085279,4.907565,5.707545,15,3,3,27,27,27.3,1,2,21,13,7,23,3.500053,4
2,2,1,1,0.5084723,0.1085279,5.407566,5.207544,15,3,3,27,27,27.3,1,2,21,13,7,23,3.601274,4
2,2,1,1,0.5084723,0.1085279,5.907565,4.707545,15,3,3,27,27,27.3,1,2,21,13,7,23,3.703393,4
1,2,1,1,10.50753,0.1085279,6.407565,4.207544,15,3,3,27,27,27.3,1,2,21,13,7,23,3.803103,4
2,2,1,1,0.5084723,0.1085279,6.907565,3.707546,15,3,3,27,27,27.3,1,2,21,13,7,23,3.90273,4
2,2,1,1,0.5084723,0.1085279,7.407564,3.207546,15,3,3,27,27,27.3,1,2,21,13,7,23,4.000611,4
2,2,1,1,0.5084723,0.1085279,7.907563,2.707547,15,3,3.5,27,27,27.3,1,2,21,13,7,23,4.103554,4
